日期,数据集,实际均价,正式模型预测均价,实验模型预测均价,正式模型MAPE,实验模型MAPE
2025-07-08,训练集,0.88360347,0.86945448,0.85489537,0.06552932,0.06856628
2025-07-09,验证集,0.87917708,0.86620801,0.84592436,0.06162143,0.05851260
2025-07-10,训练集,0.87750764,0.81995056,0.80901029,0.11211126,0.09556800
2025-07-11,测试集,0.70694653,0.83809361,0.78758223,0.21698731,0.13928824
2025-07-12,训练集,0.69428194,0.81081740,0.77172803,0.24829844,0.17446280
2025-07-13,训练集,0.85428750,0.73944181,0.80137854,0.13874872,0.08006425
2025-07-14,训练集,0.87221528,0.84479995,0.83738805,0.06616647,0.06331179
2025-07-15,验证集,0.87210833,0.86833268,0.86335075,0.06473912,0.05430036
2025-07-16,训练集,0.87580208,0.82917664,0.83182364,0.09920742,0.07186240
2025-07-17,测试集,0.87482083,0.86883588,0.85189306,0.07062154,0.06579292
2025-07-18,训练集,0.69420278,0.81763598,0.79618610,0.23392125,0.17850130
2025-07-19,训练集,0.68029931,0.70242931,0.71994914,0.10392316,0.12605254
2025-07-20,训练集,0.86761250,0.72772051,0.79704917,0.17369276,0.09392200
2025-07-21,验证集,0.87917917,0.85590272,0.85032711,0.05913615,0.05484732
2025-07-22,训练集,0.87513333,0.81438967,0.84186475,0.10448574,0.06442719
2025-07-23,测试集,0.87558403,0.86470514,0.85919780,0.06352903,0.05332773
2025-07-24,训练集,0.87744583,0.81962647,0.83365295,0.10422432,0.07663457
2025-07-25,训练集,0.67696875,0.83902678,0.79539862,0.31789400,0.23471445
2025-07-26,训练集,0.68800903,0.70297182,0.72092006,0.08537200,0.08610439
2025-07-27,验证集,0.87713125,0.75042528,0.80055454,0.14409139,0.09205772
2025-07-28,训练集,0.88623681,0.79835028,0.82907478,0.12742696,0.08604238
2025-07-29,测试集,0.88462778,0.87044780,0.85988858,0.05893607,0.05431675
2025-07-30,训练集,0.87969653,0.80924389,0.82085810,0.11647356,0.08702297
2025-07-31,训练集,0.88143125,0.86321914,0.86115617,0.06507366,0.05353456
2025-08-01,训练集,0.66639722,0.82685752,0.78837598,0.31666607,0.24396010
2025-08-02,验证集,0.66218750,0.70994989,0.70439013,0.15208312,0.13156014
