日期,MAE(元/kWh),RMSE(元/kWh),MAPE,前日偏差权重,实际均价(元/kWh),预测均价(元/kWh)
2025-03-27,0.03606124,0.04921591,5.46068352%,0.39542340,0.76641597,0.74807391
2025-03-28,0.11808512,0.13800598,28.28343833%,0.39896975,0.57476806,0.68972518
2025-03-29,0.07688296,0.09536538,20.45049329%,0.37839524,0.56308681,0.63580540
2025-03-30,0.03984370,0.04931954,6.24770790%,0.00000000,0.75202708,0.74156492
2025-03-31,0.03913302,0.05237511,5.65163161%,0.36992906,0.76070417,0.74578549
2025-04-01,0.05849486,0.07115414,8.20691826%,0.00000000,0.77310903,0.73288132
2025-04-02,0.04383425,0.05700589,6.02491667%,0.36992906,0.77232014,0.74712112
2025-04-03,0.04145216,0.05349940,6.55387597%,0.38230831,0.76446389,0.75884907
2025-04-04,0.12332873,0.14152268,27.66069973%,0.37934877,0.55950278,0.68232048
2025-04-05,0.09992641,0.11927414,22.05486599%,0.00000000,0.57552847,0.67348668
2025-04-06,0.06582261,0.07754320,9.61847367%,0.36279080,0.75568681,0.69273320
2025-04-07,0.04288255,0.05413643,6.64823158%,0.00000000,0.75171597,0.72540073
2025-04-08,0.04084539,0.05226263,6.42487044%,0.34573784,0.75191597,0.74475997
2025-04-09,0.04620771,0.06126087,6.83164738%,0.34823739,0.76627083,0.74018345
2025-04-10,0.03777403,0.04693944,6.31841682%,0.35039222,0.75802708,0.75182343
2025-04-11,0.12062535,0.14280559,29.01885472%,0.00000000,0.55147847,0.66856788
2025-04-12,0.06558125,0.07958346,13.67635671%,0.34602586,0.56386736,0.61677360
2025-04-13,0.04983260,0.06407261,7.26238800%,0.00000000,0.75625486,0.71733023
2025-04-14,0.03619277,0.04570693,5.84792162%,0.34394069,0.74659722,0.74624026
2025-04-15,0.04005331,0.05062042,6.55863919%,0.34686118,0.73853264,0.74055315
2025-04-16,0.04132676,0.05243314,5.88389283%,0.34871792,0.76235417,0.74126625
2025-04-17,0.03733763,0.05073748,5.76504959%,0.00000000,0.74776736,0.73501558
2025-04-18,0.10879103,0.12652043,22.53068547%,0.34621755,0.55942014,0.66761186
2025-04-19,0.12820581,0.14772815,30.02791424%,0.00000000,0.55797639,0.68519246
2025-04-20,0.06545153,0.07741101,9.29696343%,0.34354774,0.74543889,0.68320967
2025-04-21,0.03570548,0.04605086,6.06765348%,0.28285915,0.73395208,0.73206523
2025-04-22,0.04001999,0.05297126,5.90595839%,0.28397485,0.75095833,0.73304406
2025-04-23,0.04245596,0.05406931,6.48629707%,0.00000000,0.74791250,0.73218897
2025-04-24,0.03571500,0.04543040,5.67233506%,0.27536032,0.73618472,0.73252021
2025-04-25,0.13453714,0.15451990,33.69031896%,0.00000000,0.54069167,0.67400110
2025-04-26,0.07835266,0.09994695,37.05746348%,0.26724388,0.53780486,0.60910876
2025-04-27,0.06868695,0.08417864,9.46330757%,0.33803292,0.73378264,0.66947569
2025-04-28,0.05804413,0.07779314,8.44263453%,0.29280684,0.76605208,0.72125944
2025-04-29,0.04576783,0.05713837,7.44758691%,0.00000000,0.73038264,0.70737690
2025-04-30,0.03961028,0.05114797,6.10873556%,0.33088967,0.72944236,0.72033490
2025-05-01,0.05822644,0.07192448,8.39321437%,0.00000000,0.74732639,0.69977376
2025-05-02,0.07398294,0.08982545,14.07580081%,0.33132384,0.58695139,0.64990269
2025-05-03,0.05337552,0.06345113,12.36599147%,0.31023009,0.56982431,0.61439682
2025-05-04,0.06455075,0.07610822,9.41311828%,0.32823574,0.74612847,0.68676754
2025-05-05,0.07031529,0.08424676,9.40289171%,0.00000000,0.76046111,0.69706741
2025-05-06,0.04813190,0.05902937,7.01080492%,0.28074767,0.75323611,0.71618574
2025-05-07,0.07196121,0.08714004,9.76755690%,0.00000000,0.75872917,0.69173160
2025-05-08,0.04618284,0.06104695,6.73280342%,0.32412470,0.76165903,0.72650440
2025-05-09,0.09548368,0.11016652,21.70376534%,0.34632620,0.56673819,0.66088808
2025-05-10,0.04114086,0.05360740,9.58896583%,0.30468463,0.57530764,0.59776030
2025-05-11,0.07283267,0.08755852,10.18019307%,0.00000000,0.76078194,0.69556055
2025-05-12,0.04181613,0.05610472,6.25532906%,0.32846933,0.75178819,0.73052448
2025-05-13,0.07083182,0.08720672,9.99392892%,0.00000000,0.75644583,0.69416014
2025-05-14,0.03731940,0.04741205,5.63404117%,0.26815381,0.74755139,0.72906195
2025-05-15,0.04321246,0.05653190,6.34007023%,0.28460357,0.75277708,0.72612675
2025-05-16,0.10504912,0.12254753,29.13904335%,0.29940387,0.54538542,0.64795624
2025-05-17,0.07899450,0.09820885,16.06870684%,0.00000000,0.57341597,0.64784042
2025-05-18,0.06337834,0.08007278,9.01761777%,0.29036533,0.75068125,0.69114655
2025-05-19,0.04453417,0.05735051,7.08075334%,0.00000000,0.73175972,0.71409530
2025-05-20,0.05199130,0.06730965,7.66129482%,0.30854506,0.75658194,0.72341231
